date;SP500;NASDAQ
2023-03-20-11-31;3956.27;12565.19
2023-03-20-11-32;3954.77;12563.19
2023-03-20-11-33;3952.15;12551.12
2023-03-20-11-34;3950.40;12543.42
2023-03-20-11-35;3951.83;12548.98
2023-03-20-11-36;3951.75;12549.76
2023-03-20-11-37;3951.25;12547.31
2023-03-20-11-38;3950.85;12546.41
2023-03-20-11-39;3950.46;12544.99
2023-03-20-11-40;3951.49;12548.45
2023-03-20-11-41;3950.98;12549.60
2023-03-20-11-42;3951.48;12550.30
2023-03-20-11-43;3950.01;12542.39
2023-03-20-11-44;3949.34;12540.93
2023-03-20-11-45;3948.43;12536.14
2023-03-20-11-46;3949.01;12537.72
2023-03-20-11-47;3947.13;12528.33
2023-03-20-11-48;3946.75;12524.61
2023-03-20-11-49;3946.21;12519.79
2023-03-20-11-50;3946.45;12520.43
2023-03-20-11-51;3948.19;12525.32
2023-03-20-11-52;3947.13;12516.59
2023-03-20-11-53;3947.21;12518.47
2023-03-20-11-54;3944.33;12507.47
2023-03-20-11-55;3943.23;12505.39
2023-03-20-11-56;3944.36;12509.15
2023-03-20-11-57;3940.98;12498.41
2023-03-20-11-58;3939.89;12493.25
2023-03-20-11-59;3941.18;12495.48
2023-03-20-12-00;3940.02;12491.08
2023-03-20-12-01;3940.70;12495.60
2023-03-20-12-02;3939.91;12492.99
2023-03-20-12-03;3940.03;12492.80
2023-03-20-12-04;3940.43;12493.81
2023-03-20-12-05;3940.41;12495.59
2023-03-20-12-06;3940.19;12495.75
2023-03-20-12-07;3938.66;12492.41
2023-03-20-12-08;3936.90;12486.96
2023-03-20-12-09;3934.70;12478.71
2023-03-20-12-10;3931.18;12464.37
2023-03-20-12-11;3930.39;12461.91
2023-03-20-12-12;3927.23;12452.38
2023-03-20-12-13;3923.80;12442.44
2023-03-20-12-14;3925.28;12450.47
2023-03-20-12-15;3928.31;12461.21
2023-03-20-12-16;3930.43;12467.96
2023-03-20-12-17;3930.42;12472.04
2023-03-20-12-18;3929.92;12469.73
2023-03-20-12-19;3927.69;12461.03
2023-03-20-12-20;3929.11;12467.86
2023-03-20-12-21;3929.02;12464.35
2023-03-20-12-22;3929.52;12467.07
2023-03-20-12-23;3931.67;12472.59
2023-03-20-12-24;3931.66;12471.02
2023-03-20-12-25;3931.22;12469.46
2023-03-20-12-26;3930.55;12467.34
2023-03-20-12-27;3928.74;12460.52
2023-03-20-12-28;3930.21;12466.80
2023-03-20-12-29;3931.95;12472.93
2023-03-20-12-30;3932.90;12475.82
2023-03-20-12-31;3934.87;12484.11
2023-03-20-12-32;3933.39;12474.55
2023-03-20-12-33;3933.06;12475.12
2023-03-20-12-34;3933.12;12474.13
2023-03-20-12-35;3934.66;12480.86
2023-03-20-12-36;3934.18;12479.39
2023-03-20-12-37;3933.71;12476.08
2023-03-20-12-38;3934.05;12478.69
2023-03-20-12-39;3934.42;12477.35
2023-03-20-12-40;3935.88;12480.29
2023-03-20-12-41;3936.35;12483.62
2023-03-20-12-42;3936.23;12483.35
2023-03-20-12-43;3936.49;12482.33
2023-03-20-12-44;3934.50;12474.57
2023-03-20-12-45;3935.23;12476.27
2023-03-20-12-46;3933.94;12469.96
2023-03-20-12-47;3934.65;12477.63
2023-03-20-12-48;3936.06;12484.59
2023-03-20-12-49;3937.96;12490.65
2023-03-20-12-50;3937.44;12489.27
2023-03-20-12-51;3941.60;12502.46
2023-03-20-12-52;3942.96;12509.04
2023-03-20-12-53;3942.60;12507.82
2023-03-20-12-54;3943.25;12508.93
2023-03-20-12-55;3943.13;12506.78
2023-03-20-12-56;3943.06;12509.20
2023-03-20-12-57;3946.08;12514.00
2023-03-20-12-58;3945.25;12511.55
2023-03-20-12-59;3945.03;12510.83
2023-03-20-13-00;3945.18;12511.93
2023-03-20-13-01;3945.09;12509.43
2023-03-20-13-02;3945.57;12510.08
2023-03-20-13-03;3946.25;12511.14
2023-03-20-13-04;3947.17;12515.04
2023-03-20-13-05;3946.28;12511.34
